dataset,timestamp,container,cpu,mem,mem_pct,net_io,blk_io,pids,mem_used_text,mem_used_mib
Email-EuAll,1767075374,spark-master,218.97%,399.8MiB / 3.828GiB,10.20%,7.46kB / 2.2kB,65.1MB / 98.3kB,76,399.8MiB,399.8
Email-EuAll,1767075374,spark-worker,118.06%,291.1MiB / 3.828GiB,7.43%,8.36kB / 7.02kB,28.8MB / 65.5kB,74,291.1MiB,291.1
cit-Patents,1767075378,spark-master,242.34%,483.4MiB / 3.828GiB,12.33%,119kB / 282kB,67.7MB / 950kB,125,483.4MiB,483.4
cit-Patents,1767075378,spark-worker,0.05%,197.2MiB / 3.828GiB,5.03%,279kB / 116kB,29.1MB / 893kB,52,197.2MiB,197.2
cit-Patents,1767075386,spark-master,0.76%,494MiB / 3.828GiB,12.60%,140kB / 424kB,67.7MB / 950kB,127,494MiB,494
cit-Patents,1767075386,spark-worker,770.34%,1.394GiB / 3.828GiB,36.43%,426kB / 139kB,29.1MB / 897kB,116,1.394GiB,1427.456
cit-Patents,1767075393,spark-master,112.26%,282.4MiB / 3.828GiB,7.20%,262kB / 628kB,67.7MB / 1.9MB,68,282.4MiB,282.4
cit-Patents,1767075393,spark-worker,0.05%,199.8MiB / 3.828GiB,5.10%,630kB / 260kB,29.2MB / 60.6MB,53,199.8MiB,199.8
soc-LiveJournal1,1767075394,spark-master,236.48%,424.2MiB / 3.828GiB,10.82%,262kB / 628kB,67.7MB / 1.9MB,112,424.2MiB,424.2
soc-LiveJournal1,1767075394,spark-worker,0.05%,199.8MiB / 3.828GiB,5.10%,630kB / 260kB,29.2MB / 60.6MB,53,199.8MiB,199.8
soc-LiveJournal1,1767075401,spark-master,0.41%,488.4MiB / 3.828GiB,12.46%,285kB / 775kB,67.7MB / 1.9MB,128,488.4MiB,488.4
soc-LiveJournal1,1767075401,spark-worker,789.98%,1.384GiB / 3.828GiB,36.16%,777kB / 283kB,29.2MB / 60.6MB,117,1.384GiB,1417.216
soc-LiveJournal1,1767075409,spark-master,3.01%,490.1MiB / 3.828GiB,12.51%,327kB / 882kB,67.7MB / 2.04MB,131,490.1MiB,490.1
soc-LiveJournal1,1767075409,spark-worker,779.78%,1.411GiB / 3.828GiB,36.87%,862kB / 317kB,29.2MB / 60.6MB,118,1.411GiB,1444.864
soc-LiveJournal1,1767075416,spark-master,2.60%,491.7MiB / 3.828GiB,12.55%,374kB / 1e+03kB,67.7MB / 2.04MB,130,491.7MiB,491.7
soc-LiveJournal1,1767075416,spark-worker,781.73%,1.424GiB / 3.828GiB,37.20%,980kB / 364kB,29.2MB / 60.6MB,118,1.424GiB,1458.176
soc-LiveJournal1,1767075424,spark-master,23.33%,494.7MiB / 3.828GiB,12.62%,423kB / 1.09MB,67.7MB / 2.84MB,130,494.7MiB,494.7
soc-LiveJournal1,1767075424,spark-worker,460.68%,1.428GiB / 3.828GiB,37.30%,1.04MB / 406kB,29.2MB / 205MB,118,1.428GiB,1462.272
soc-pokec-relationships,1767075431,spark-master,214.84%,379.6MiB / 3.828GiB,9.69%,514kB / 1.23MB,67.7MB / 2.87MB,78,379.6MiB,379.6
soc-pokec-relationships,1767075431,spark-worker,0.05%,202.7MiB / 3.828GiB,5.17%,1.24MB / 512kB,29.2MB / 206MB,52,202.7MiB,202.7
soc-pokec-relationships,1767075437,spark-master,1.29%,487.2MiB / 3.828GiB,12.43%,538kB / 1.38MB,67.7MB / 3.02MB,128,487.2MiB,487.2
soc-pokec-relationships,1767075437,spark-worker,776.39%,1.383GiB / 3.828GiB,36.12%,1.38MB / 536kB,29.2MB / 206MB,115,1.383GiB,1416.192
soc-pokec-relationships,1767075445,spark-master,1.71%,489.7MiB / 3.828GiB,12.49%,571kB / 1.44MB,67.7MB / 3.02MB,132,489.7MiB,489.7
soc-pokec-relationships,1767075445,spark-worker,383.22%,1.38GiB / 3.828GiB,36.05%,1.48MB / 587kB,29.2MB / 207MB,117,1.38GiB,1413.12